hash_partida,hash_tf,data_partida,periodo,temporada,team_hash_a,team_hash_b,fg_made_a,fg_att_a,fg3_made_a,fg3_att_a,fg2_made_a,fg2_att_a,ft_made_a,ft_att_a,fg_made_b,fg_att_b,fg3_made_b,fg3_att_b,fg2_made_b,fg2_att_b,ft_made_b,ft_att_b,pace_a,pace_b,match_pace,pts_a,pts_b,a_mov,total,a_mov_cumsum,a_mov_prior
AABJ Joinville2023Pato Basquete2023,AABJ Joinville2023Pato Basquete20234,2023-06-17,4,2023,AABJ Joinville2023,Pato Basquete2023,17,19,3,12,3,7,2,2,32,13,5,7,5,6,7,9,23.88,19.96,21.92,17,32,-15,49,-10,5.0
AABJ Joinville2023Pato Basquete2023,AABJ Joinville2023Pato Basquete2023Final,2023-06-17,Final,2023,AABJ Joinville2023,Pato Basquete2023,68,69,8,36,18,33,8,9,78,59,10,25,16,34,16,21,80.96,71.24,76.1,68,78,-10,146,-20,
Botafogo2023São José Basketball2023,Botafogo2023São José Basketball20231,2023-06-17,1,2023,Botafogo2023,São José Basketball2023,19,15,2,6,6,9,1,2,19,17,3,8,5,9,0,0,15.88,19.0,17.44,19,19,0,38,0,0.0
Botafogo2023São José Basketball2023,Botafogo2023São José Basketball20232,2023-06-17,2,2023,Botafogo2023,São José Basketball2023,18,12,4,8,3,4,0,0,19,17,1,6,7,11,2,3,15.0,20.32,17.66,18,19,-1,37,-1,0.0
Botafogo2023São José Basketball2023,Botafogo2023São José Basketball20233,2023-06-17,3,2023,Botafogo2023,São José Basketball2023,19,15,2,7,4,8,5,13,19,15,2,7,6,8,1,3,21.72,23.32,22.52,19,19,0,38,-1,-1.0
Botafogo2023São José Basketball2023,Botafogo2023São José Basketball20234,2023-06-17,4,2023,Botafogo2023,São José Basketball2023,11,16,0,6,4,10,3,7,16,11,0,2,5,9,6,14,26.08,20.16,23.119999999999997,11,16,-5,27,-6,-1.0
Botafogo2023São José Basketball2023,Botafogo2023São José Basketball2023Final,2023-06-17,Final,2023,Botafogo2023,São José Basketball2023,67,58,8,27,17,31,9,22,73,60,6,23,23,37,9,20,76.68,79.8,78.24000000000001,67,73,-6,140,-12,
IVV/CETAF2023Thalia/PH.D Esportes2023,IVV/CETAF2023Thalia/PH.D Esportes20231,2023-06-17,1,2023,IVV/CETAF2023,Thalia/PH.D Esportes2023,11,15,0,5,5,10,1,2,18,22,1,7,4,15,7,11,20.880000000000003,19.84,20.36,11,18,-7,29,-7,0.0
IVV/CETAF2023Thalia/PH.D Esportes2023,IVV/CETAF2023Thalia/PH.D Esportes20232,2023-06-17,2,2023,IVV/CETAF2023,Thalia/PH.D Esportes2023,14,11,1,6,3,5,5,8,15,17,0,5,4,12,7,10,19.52,21.4,20.46,14,15,-1,29,-8,-7.0
IVV/CETAF2023Thalia/PH.D Esportes2023,IVV/CETAF2023Thalia/PH.D Esportes20233,2023-06-17,3,2023,IVV/CETAF2023,Thalia/PH.D Esportes2023,8,17,0,10,3,7,2,6,18,17,2,7,6,10,0,2,16.64,21.88,19.259999999999998,8,18,-10,26,-18,-8.0
IVV/CETAF2023Thalia/PH.D Esportes2023,IVV/CETAF2023Thalia/PH.D Esportes20234,2023-06-17,4,2023,IVV/CETAF2023,Thalia/PH.D Esportes2023,14,19,2,10,4,9,0,0,23,16,0,2,11,14,1,2,18.0,19.88,18.939999999999998,14,23,-9,37,-27,-18.0
IVV/CETAF2023Thalia/PH.D Esportes2023,IVV/CETAF2023Thalia/PH.D Esportes2023Final,2023-06-17,Final,2023,IVV/CETAF2023,Thalia/PH.D Esportes2023,47,62,3,31,15,31,8,16,74,72,3,21,25,51,15,25,74.04,81.0,77.52000000000001,47,74,-27,121,-54,
Caxias2023União Corinthians2023,Caxias2023União Corinthians20231,2023-06-17,1,2023,Caxias2023,União Corinthians2023,18,19,1,10,5,9,5,6,14,12,1,4,4,8,3,4,22.64,19.759999999999998,21.2,18,14,4,32,4,0.0
Caxias2023União Corinthians2023,Caxias2023União Corinthians20232,2023-06-17,2,2023,Caxias2023,União Corinthians2023,20,23,2,14,6,9,2,4,12,19,0,2,6,17,0,3,23.76,21.32,22.54,20,12,8,32,12,4.0
Caxias2023União Corinthians2023,Caxias2023União Corinthians20233,2023-06-17,3,2023,Caxias2023,União Corinthians2023,26,22,4,12,7,10,0,0,7,16,0,3,2,13,3,6,24.0,14.64,19.32,26,7,19,33,31,12.0
Caxias2023União Corinthians2023,Caxias2023União Corinthians20234,2023-06-17,4,2023,Caxias2023,União Corinthians2023,14,16,2,9,3,7,2,4,11,13,0,5,4,8,3,6,19.76,15.64,17.700000000000003,14,11,3,25,34,31.0
Caxias2023União Corinthians2023,Caxias2023União Corinthians2023Final,2023-06-17,Final,2023,Caxias2023,União Corinthians2023,78,80,9,45,21,35,9,14,44,60,1,14,16,46,9,19,89.16,71.36,80.25999999999999,78,44,34,122,68,
B.Cearense2023Caixa Brasília Basquete2023,B.Cearense2023Caixa Brasília Basquete20231,2023-06-18,1,2023,B.Cearense2023,Caixa Brasília Basquete2023,15,12,0,4,6,8,3,6,21,18,3,9,6,9,0,1,15.64,20.44,18.04,15,21,-6,36,-6,0.0
B.Cearense2023Caixa Brasília Basquete2023,B.Cearense2023Caixa Brasília Basquete20232,2023-06-18,2,2023,B.Cearense2023,Caixa Brasília Basquete2023,15,18,2,9,3,9,3,6,24,16,4,7,5,9,2,4,20.64,20.76,20.700000000000003,15,24,-9,39,-15,-6.0
B.Cearense2023Caixa Brasília Basquete2023,B.Cearense2023Caixa Brasília Basquete20233,2023-06-18,3,2023,B.Cearense2023,Caixa Brasília Basquete2023,20,20,1,5,8,15,1,4,13,21,1,8,4,13,2,2,18.76,23.88,21.32,20,13,7,33,-8,-15.0
B.Cearense2023Caixa Brasília Basquete2023,B.Cearense2023Caixa Brasília Basquete20234,2023-06-18,4,2023,B.Cearense2023,Caixa Brasília Basquete2023,14,10,1,6,2,4,7,10,9,15,0,5,3,10,3,8,18.4,21.52,19.96,14,9,5,23,-3,-8.0
B.Cearense2023Caixa Brasília Basquete2023,B.Cearense2023Caixa Brasília Basquete2023Final,2023-06-18,Final,2023,B.Cearense2023,Caixa Brasília Basquete2023,64,60,4,24,19,36,14,26,67,70,8,29,18,41,7,15,71.44,85.6,78.52,64,67,-3,131,-6,
IVV/CETAF2023Pato Basquete2023,IVV/CETAF2023Pato Basquete20231,2023-06-18,1,2023,IVV/CETAF2023,Pato Basquete2023,21,16,3,9,6,7,0,0,17,17,0,5,8,12,1,3,18.0,16.32,17.16,21,17,4,38,4,0.0
