event_id,date,home_team,away_team,home_q1,away_q1,home_ot1,away_ot1,home_ot2,away_ot2,home_final,away_final
8497338,2024-07-14 19:45:00,Paulistano U22,Unifacisa LDB U22,25,17,112,48,,,112,48
8497344,2024-07-14 17:30:00,LDPG U22,AEGB LDB U22,19,16,85,50,,,85,50
8497342,2024-07-14 17:30:00,Flamengo U22,Soc. Thalia/SMEIJ LDB U22,21,19,91,75,,,91,75
8497340,2024-07-14 15:15:00,Cruzeiro LDB U22,Bauru LDB U22,12,12,58,52,,,58,52
8497339,2024-07-14 15:15:00,Vasco da Gama/Tijuca LDB U22,Corinthians U22,10,19,47,89,,,47,89
8497347,2024-07-14 13:00:00,Sao Jose U22,Pato Basquete LDB U22,17,18,87,47,,,87,47
8497341,2024-07-14 13:00:00,Pinheiros U22,BRB/Brasilia LDB U22,28,17,97,66,,,97,66
8497348,2024-07-14 10:45:00,Franca U22,Caxias do Sul LDB U22,19,17,63,69,,,63,69
8497346,2024-07-14 10:45:00,Mogi Basquete LDB U22,Basquete Cearense LDB U22,30,5,98,43,,,98,43
8497343,2024-07-14 08:30:00,IVV/CETAF LDB U22,Cerrado Basquete LDB U22,21,15,68,55,,,68,55
8497337,2024-07-14 08:30:00,Botafogo RJ U22,Sao Paulo LDB U22,22,19,89,86,,,89,86
8492934,2024-07-13 17:30:00,Campo Mourao LDB U22,Flamengo U22,12,17,59,84,,,59,84
8491593,2024-07-13 15:15:00,Soc. Thalia/SMEIJ LDB U22,Franca U22,19,12,48,75,,,48,75
8492933,2024-07-13 13:00:00,Sao Paulo LDB U22,Sao Jose U22,24,26,77,92,,,77,92
8492932,2024-07-13 10:45:00,Pato Basquete LDB U22,Vasco da Gama/Tijuca LDB U22,13,14,52,64,,,52,64
8492931,2024-07-13 08:30:00,Caxias do Sul LDB U22,Botafogo RJ U22,24,19,90,83,,,90,83
8483771,2024-07-12 19:45:00,Flamengo U22,ADRM/Maringa LDB U22,17,10,86,56,,,86,56
8483722,2024-07-12 17:30:00,Uniao Corinthians LDB U22,Pato Basquete LDB U22,19,22,75,72,,,75,72
8483724,2024-07-12 15:15:00,Sao Jose U22,Caxias do Sul LDB U22,17,16,80,71,,,80,71
8483770,2024-07-12 13:00:00,Franca U22,Campo Mourao LDB U22,11,9,57,51,,,57,51
8489598,2024-07-12 10:45:00,Botafogo RJ U22,Soc. Thalia/SMEIJ LDB U22,10,19,76,67,,,76,67
8483723,2024-07-12 08:30:00,Vasco da Gama/Tijuca LDB U22,Sao Paulo LDB U22,10,23,51,71,,,51,71
8434763,2024-07-02 16:00:00,Unifacisa LDB U22,BRB/Brasilia LDB U22,9,17,40,67,,,40,67
8434728,2024-07-02 13:45:00,Cerrado Basquete LDB U22,Bauru LDB U22,18,24,15,13,101,99,101,99
8434680,2024-07-02 11:30:00,Basquete Cearense LDB U22,AEGB LDB U22,18,10,79,53,,,79,53
8429340,2024-07-01 16:00:00,BRB/Brasilia LDB U22,Cerrado Basquete LDB U22,12,17,66,68,,,66,68
8429004,2024-07-01 13:45:00,Bauru LDB U22,Minas LDB U22,12,16,44,54,,,44,54
8428994,2024-07-01 11:30:00,AEGB LDB U22,Unifacisa LDB U22,19,22,63,75,,,63,75
8420229,2024-06-30 16:00:00,Minas LDB U22,BRB/Brasilia LDB U22,30,10,81,67,,,81,67
8420230,2024-06-30 13:45:00,Cerrado Basquete LDB U22,AEGB LDB U22,14,15,77,46,,,77,46
8420179,2024-06-30 11:30:00,Unifacisa LDB U22,Basquete Cearense LDB U22,17,27,86,64,,,86,64
8419956,2024-06-29 13:30:00,Cruzeiro LDB U22,Paulistano U22,9,12,51,54,,,51,54
8419957,2024-06-29 11:15:00,Pinheiros U22,Mogi Basquete LDB U22,12,21,79,62,,,79,62
